Review Title,Rating,Category,Comments
"Not impressive, Y2 is better",2.0 out of 5 stars,Others,"Overall Phone seems to be good with performance perspective under this range category. Do not buy if you are looking for wider screen and thinner phone. I felt Y2 would have been better choice in the same range which I already brought one for the family.

Not satisfied with the looks, screen size and it is a fatty phone."
"Very Terrible, Worst Smartphone.",1.0 out of 5 stars,Camera,"Looks is poor. Very bad Performance, Camera quality Totally Worst. Please everybody do not buy Redmi 6 pro. Go to Realme 2. I wasted my money."
Don't buy this mobile mi 6 pro,1.0 out of 5 stars,Display,"Very poor quality in front facing camera, and sound quality very poor, full display not working all apps, video clear videosnot good ,zoom photos not clear picture, rs 10999 not worth this mobile waste of many, return option not available this phone, return my phone please Amazon"
Good phone,5.0 out of 5 stars,Others,I loved the fact that Lenovo gave me such a nice transparent back cover. Very happy with phone and cover quality
Disappointed.,1.0 out of 5 stars,Battery,"Worst, don't go for it. Performance wise, camera wise, battery wise waste. Please go for any other good brand. In second time replacement also having the same front camera portrait issue, totally waste, audio quality is too low to audible."
dont buy these product. these copy of the product,1.0 out of 5 stars,Others,"Please don't buy these product.. I have 3-mobile of MI but i did not face these type of issue. mobile data getting on and off automatically same things are happening with wifi, hot-spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset."
average phone,3.0 out of 5 stars,Battery,"after using two weeks i just analyse that it is a average phone in this price catagory. price should not be more than 10,000/- for this phone.
here i analyse some pros and cons of this phone after countinious using of this phone.
PROS:-
1.screen resolution is preety good 1080 x 2280 pixels, colours contrast also very impressive.
2.two days battery backup if you not playing heavy games on it like PUBG.
3.Snapdragon 625 is old but till now it's performance is awsm ,you did not face any lag in games in low graphic setting.
4.camera pictures quality is good, also portrait mode captures the good depth effect in photos but only in Day light condition in night you will face high noice in pictures
5.front facing camera also have AI depth effect it not too much good but you can take good selfy in day light condition.
6.process optimization in this phone is good.
7.there are a little notch which increase the looks and design of phone.
CONS:-
1.one thing i hate in this phone is its notifaction bar, you will not get all notification on top bar, every time you need to scroll down the ntification bar to see app notifications. net speed meter is also not shown and no whatsapp icon notification on the top of the bar. because of the notch on the screen. Mi company should needs to fix these minaor issues by new updatess.
2.Downloading process in background is little bit slow in this phone as compare to other redmi phones.
3. video recording quality of this phone is not good.
4.only 5MP front facing camera and quality is very average. in this price segment there are many phones avilabe which have better front cameras."
"Bad experience ever battery% doesn't show.Low quality flash light, Sound very low..Nnot a metal",1.0 out of 5 stars,Display,"Bad experience ever battery% doesn't show.Low quality flash light, Sound very low..Nnot a metal body.cheaper metal used Only Display quality is excellent... price should be 9000-9500.Damaged charger given Amazon is cheating people"
"Redmi 6 pro looking good, better performance.",5.0 out of 5 stars,Others,Good
I love mi 6 pro,5.0 out of 5 stars,Battery,"Osm product
Amazon is better then flipkart I never buy on 1st sale of mi phones on flipkart but in Amazon I order 2 phones in 1st sale quickly
This phone is very good and it's battery backup is amazing I love it very much
And it's camera is very good quality"
Always Mi Best in Mobile ??,5.0 out of 5 stars,Battery,"Very nice looking, slim, light weight, sound quality, battery back up... all factors are nice...MI 6 Pro is Nice mobile satisfied with prize and quality what I expected before purchasing."
I am satisfying this phone,5.0 out of 5 stars,Others,Bettary so good
excellent this redmi 6 Pro,5.0 out of 5 stars,Others,excellent this redmi 6 Pro so nice product of redmi product thank you for xiaomi
It Hangs,1.0 out of 5 stars,Others,"After using it for 10 days, I am writing it, this phone as well MI A2 Hangs, please do not purchase."
Value for money...,5.0 out of 5 stars,Camera,"Working good with Snapdragon 625 which is its best part. Camera is also good in this price range, camera clarity is good. Just go for it.."
Rock u,5.0 out of 5 stars,Others,"Really nice one
Thankd"
Good for sharp use,4.0 out of 5 stars,Others,Dislike snapdragon 425
turn out amazing to be amazing worth it,5.0 out of 5 stars,Camera,"the camera is good, phone is fast overall work well in all department"
Don't buy camera quality extreme poor.,1.0 out of 5 stars,Camera,"I got this product today camera both front and back are not upto mark.
Pixels are scattered. Please don't buy this phone just because u r getting it for 11k."
Overall Nice,4.0 out of 5 stars,Camera,"Overall really good.Fingerprint and Face unlock is really fast.No lag problems while working or gaming.
Back camera is awesome.
But,if you are a selfie lover so then you should not go with this.
It contains Ir blaster,there are no other phones provides that."
Satisfied,4.0 out of 5 stars,Display,Very good phone at this price. Display quality perfect
Dual 4G support,1.0 out of 5 stars,Others,I have purchsed this item and two jio sim are not working togeher. But in specification it is given that it supports dual 4g sim. What is this? Please dove my problem.
Very good,4.0 out of 5 stars,Others,Good purchase nice phone with good features like 3 slots and face lock
Not good as expected,1.0 out of 5 stars,Others,Do not buy.
Heating issues and battery is not upto the mark.,1.0 out of 5 stars,Others,Phone has heating issue. Amazon return policy is very bad they will check our phone with blancco app. The app is designed to say phone is perfect always. Go for realme 2 much better phone and u can save 2000 rupees also.
Wonder full mobile,5.0 out of 5 stars,Display,"Amazing phone like a iphone
Nice built quality
Super camera
Super display
Better battery
Using in single hands to happy
Value for money"
Value for money,5.0 out of 5 stars,Others,Best value for money
Batytery is not good mentioned 4000mah but not good,1.0 out of 5 stars,Battery,Please dont't bye camera is good but battery back up not good
19:9 display awesome,5.0 out of 5 stars,Battery,i love it awesome phone 11k camera battery super b
Nice mobile,4.0 out of 5 stars,Display,"This is a good mobile at this price.
Pros : Good display, fast processing and large battery.
Cons : Camera is good but nothing special having dual camera setup."
Dont Buy,1.0 out of 5 stars,Battery,"Charging issue
Lagging issue
hanging issue
multiple issue."
Nice mobile,3.0 out of 5 stars,Camera,"Nice product
Front or rear camera thoda accha hona chahiye tha"
"Cemera quality,face unlock most important in this phone",5.0 out of 5 stars,Others,"I like This Phone, Awesome look and design.
I'm using this phone"
Mi is best phone,4.0 out of 5 stars,Others,Product is avasome but invoice is note include......
Its a OK Phone,3.0 out of 5 stars,Battery,"Redmi Note4, Note5, now 6pro..It seems the older the model the better was the performance as I used all 3 models in the line. The notch design, hides the battery % and network speed, one has to pull down a bit to see these 2 things. Note 5 and 6pro both have a common issue-- after switching the swipe up (to unlock) does not work smoothly every time. The escape is to switch off the swipe up feature. After Note4, in the newer models the length of USB cable has become shorter, whichis a problem if you are little away from the plug point. How much cost does Xiaomi saves by shortening the cable? 6pro came with a smaller ejection tool, additional cost saving by cutting 2gm of metal. The front flash if Note5 has been removed in 6pro. These manufacturers seem to be idiots and fooling public by launching new models without any real additional feature or improvement. Anyway, its an OK phone for 10,000 (3GB/32GB). For 11,000 a customer expects a little more, and Xiaomi disappoints here."
Redmi,5.0 out of 5 stars,Others,I love mi
Not worth for the price.,1.0 out of 5 stars,Camera,"Same old configurations with higher price.
Not worth for money.
Camera quality is not up to mark.
Notch - I personally feel this as a feature which is not useful for this size (5.84) of phone. Infact that makes phone looks smaller than 5.84 as notch is also included in size.

There are better options available in same price range."
