Product Name,Review Title,Rating,Category,Comments
Redmi Note 11,Value for money...,5.0 out of 5 stars,Camera,"Working good with Snapdragon 625 which is its best part. Camera is also good in this price range, camera clarity is good. Just go for it.."
Redmi Note 11 Pro,Rock u,5.0 out of 5 stars,Others,"Really nice one
Thankd"
Redmi Note 11 Pro+ 5G,Good for sharp use,4.0 out of 5 stars,Others,Dislike snapdragon 425
Redmi Note 12,turn out amazing to be amazing worth it,5.0 out of 5 stars,Camera,"the camera is good, phone is fast overall work well in all department"
Redmi Note 12 Pro,Don't buy camera quality extreme poor.,1.0 out of 5 stars,Camera,"I got this product today camera both front and back are not upto mark.
Pixels are scattered. Please don't buy this phone just because u r getting it for 11k."
Redmi Note 12 Pro+ 5G,Overall Nice,4.0 out of 5 stars,Camera,"Overall really good.Fingerprint and Face unlock is really fast.No lag problems while working or gaming.
Back camera is awesome.
But,if you are a selfie lover so then you should not go with this.
It contains Ir blaster,there are no other phones provides that."
Redmi Note 13,Satisfied,4.0 out of 5 stars,Display,Very good phone at this price. Display quality perfect
Redmi Note 13 Pro,Dual 4G support,1.0 out of 5 stars,Others,I have purchsed this item and two jio sim are not working togeher. But in specification it is given that it supports dual 4g sim. What is this? Please dove my problem.
Redmi Note 13 Pro+ 5G,Very good,4.0 out of 5 stars,Others,Good purchase nice phone with good features like 3 slots and face lock
Redmi Note 14,Not good as expected,1.0 out of 5 stars,Others,Do not buy.
Redmi Note 14 Pro,Heating issues and battery is not upto the mark.,1.0 out of 5 stars,Others,Phone has heating issue. Amazon return policy is very bad they will check our phone with blancco app. The app is designed to say phone is perfect always. Go for realme 2 much better phone and u can save 2000 rupees also.
Redmi Note 14 Pro+ 5G,Wonder full mobile,5.0 out of 5 stars,Display,"Amazing phone like a iphone
Nice built quality
Super camera
Super display
Better battery
Using in single hands to happy
Value for money"
Redmi 10,Value for money,5.0 out of 5 stars,Others,Best value for money
Redmi 10 Prime,Batytery is not good mentioned 4000mah but not good,1.0 out of 5 stars,Battery,Please dont't bye camera is good but battery back up not good
Redmi 11 Prime,19:9 display awesome,5.0 out of 5 stars,Battery,i love it awesome phone 11k camera battery super b
Redmi 12,Nice mobile,4.0 out of 5 stars,Display,"This is a good mobile at this price.
Pros : Good display, fast processing and large battery.
Cons : Camera is good but nothing special having dual camera setup."
Redmi 12 5G,Dont Buy,1.0 out of 5 stars,Battery,"Charging issue
Lagging issue
hanging issue
multiple issue."
Redmi 13,Nice mobile,3.0 out of 5 stars,Camera,"Nice product
Front or rear camera thoda accha hona chahiye tha"
Redmi 14C,"Cemera quality,face unlock most important in this phone",5.0 out of 5 stars,Others,"I like This Phone, Awesome look and design.
I'm using this phone"
Redmi Note 9,Mi is best phone,4.0 out of 5 stars,Others,Product is avasome but invoice is note include......
Redmi Note 9 Pro,Its a OK Phone,3.0 out of 5 stars,Battery,"Redmi Note4, Note5, now 6pro..It seems the older the model the better was the performance as I used all 3 models in the line. The notch design, hides the battery % and network speed, one has to pull down a bit to see these 2 things. Note 5 and 6pro both have a common issue-- after switching the swipe up (to unlock) does not work smoothly every time. The escape is to switch off the swipe up feature. After Note4, in the newer models the length of USB cable has become shorter, whichis a problem if you are little away from the plug point. How much cost does Xiaomi saves by shortening the cable? 6pro came with a smaller ejection tool, additional cost saving by cutting 2gm of metal. The front flash if Note5 has been removed in 6pro. These manufacturers seem to be idiots and fooling public by launching new models without any real additional feature or improvement. Anyway, its an OK phone for 10,000 (3GB/32GB). For 11,000 a customer expects a little more, and Xiaomi disappoints here."
Redmi Note 9 Pro Max,Redmi,5.0 out of 5 stars,Others,I love mi
Redmi 9,Not worth for the price.,1.0 out of 5 stars,Camera,"Same old configurations with higher price.
Not worth for money.
Camera quality is not up to mark.
Notch - I personally feel this as a feature which is not useful for this size (5.84) of phone. Infact that makes phone looks smaller than 5.84 as notch is also included in size.

There are better options available in same price range."
